index,DATASET,MODEL,RUN,BEST_PARAMS,TIME,Y_TRUE,Y_PRED,F1,ACCURACY,RECALL
16,Dysarthria,SVM,5,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",52.29332089424133,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5115141071283675,0.648936170212766,0.648936170212766
17,Dysarthria,RDF,5,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",21.961278676986694,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.9064135961412014,0.9078014184397163,0.9078014184397163
18,Dysarthria,KNN,6,"{'n_neighbors': 10, 'weights': 'distance'}",0.4063258171081543,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.7705003302783094,0.7808510638297872,0.7808510638297872
19,Dysarthria,SVM,6,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",52.84512543678284,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.4978836559777588,0.6372340425531915,0.6372340425531915
20,Dysarthria,RDF,6,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",20.659054279327393,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.9057077801310877,0.9067375886524822,0.9067375886524822
21,Dysarthria,KNN,7,"{'n_neighbors': 10, 'weights': 'distance'}",0.48631763458251953,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.7658674144179631,0.774822695035461,0.774822695035461
22,Dysarthria,SVM,7,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",47.49036383628845,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5300739559282455,0.6638297872340425,0.6638297872340425
23,Dysarthria,RDF,7,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",22.13718056678772,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.9024026059676015,0.9035460992907801,0.9035460992907801
24,Dysarthria,KNN,8,"{'n_neighbors': 10, 'weights': 'distance'}",0.3641228675842285,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Dysarthric'],0.7661619077489114,0.776595744680851,0.776595744680851
25,Dysarthria,SVM,8,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",52.60317659378052,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5024927917451864,0.6414893617021277,0.6414893617021277
26,Dysarthria,RDF,8,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",21.80475687980652,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Dysarthric'],0.9004622336058988,0.9014184397163121,0.9014184397163121
27,Dysarthria,KNN,9,"{'n_neighbors': 10, 'weights': 'distance'}",0.5691945552825928,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Dysarthric' ... 'Control' 'Dysarthric' 'Dysarthric'],0.780870345904479,0.7897163120567375,0.7897163120567375
28,Dysarthria,SVM,9,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",69.04703640937805,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5163694342500734,0.6524822695035462,0.6524822695035462
29,Dysarthria,RDF,9,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",26.11174702644348,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Dysarthric' ... 'Control' 'Control' 'Dysarthric'],0.9092848021998029,0.9099290780141844,0.9099290780141844
30,Dysarthria,KNN,10,"{'n_neighbors': 10, 'weights': 'distance'}",0.6167917251586914,"[['Dysarthric']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Dysarthric']
 ['Control']]",['Dysarthric' 'Control' 'Dysarthric' ... 'Control' 'Dysarthric' 'Control'],0.7709755643040391,0.7815602836879433,0.7815602836879433
31,Dysarthria,SVM,10,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",62.42307090759277,"[['Dysarthric']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Dysarthric']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5205024483410002,0.6560283687943262,0.6560283687943262
32,Dysarthria,RDF,10,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",25.821135997772217,"[['Dysarthric']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Dysarthric']
 ['Control']]",['Dysarthric' 'Control' 'Dysarthric' ... 'Control' 'Dysarthric' 'Control'],0.8982302894147408,0.899645390070922,0.899645390070922
33,Dysarthria,KNN,11,"{'n_neighbors': 10, 'weights': 'distance'}",0.521336555480957,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Control'],0.7759210145418979,0.7861702127659574,0.7861702127659574
